id	title	created	sumVotesIncremented	spinoffCount
5512811686920192	2048	2014-05-08T12:37:21Z	589	475
5127221893791744	Water simulation	2016-08-04T09:35:35Z	360	120
4547503504621568	Get program data	2016-05-24T13:59:12Z	298	78
5644451127	Wheels with different shapes	2016-05-20T16:07:27Z	261	69
2226438064	INTERACT: Absorption lines	2013-11-21T04:22:09Z	393	152
5241208742871040	Khan Academy 2048	2015-02-12T23:21:12Z	237	148
1180451277	Challenge:  Modeling Accretion Disks	2014-01-02T17:07:27Z	2153	1572
6077916504522752	Textured egg	2015-12-13T14:05:16Z	191	30
1486460294	ANIMATE: Phases of the moon	2016-01-31T13:48:19Z	148	22
5075733592408064	Path of the sun	2014-01-15T15:52:49Z	138	55
4491333245	Contest: Animate a rigged character	2016-05-25T14:59:16Z	137	165
1066372924	Shaded box	2014-06-14T15:09:59Z	132	94
1064545094	Atomic simulation	2014-02-07T21:08:30Z	125	62
5746312934064128	Spreadsheet	2014-11-21T14:30:50Z	110	41
6175467542020096	Underwater effect	2016-05-16T11:21:53Z	110	25
1153732313	Mona Lisa	2015-04-27T19:36:39Z	1217	522
5635207381	Fireworks simulator	2016-07-22T07:52:31Z	102	50
972169665	INTERACT: Exploring orbits	2015-03-25T22:05:51Z	97	3
1552640497	Unbiased Estimate of Population Variance	2013-04-15T23:08:38Z	95	37
1169428428	Unbiased Estimate of Population Variance	2014-01-11T00:24:49Z	1072	1256
1595281509	3D magnet with field	2015-04-21T07:35:05Z	343	53
5881766472	User Contest Directory	2016-08-24T14:33:54Z	90	9
5218123607179264	INTERACT: Models of the solar system	2015-12-26T11:42:44Z	192	9
1125572884	Prime density spiral	2013-06-22T15:43:12Z	232	271
966544138	Bouncing balls	2012-12-20T20:44:37Z	84	61
1208470179	Accretion starting with a disk	2014-07-20T08:39:59Z	84	95
972626402	First person maze game	2012-11-06T22:11:10Z	353	298
1170539025	Adenine - Thymine base pair	2013-08-07T15:41:41Z	83	41
4993855887769600	Hacker puzzle	2015-02-03T16:21:34Z	83	32
2132245764	GAME: Cruise to Mars 	2014-06-13T16:13:36Z	309	6
1518316573	Magnetic field	2015-04-21T07:38:33Z	135	237
5939514962477056	Khan Academy Blog 2016	2016-08-24T21:56:45Z	79	9
2068178716	Cruise Stage	2013-10-01T15:42:41Z	77	60
4996182675423232	Test your coding skills	2015-11-29T15:51:54Z	77	9
6439069268180992	Pose model test	2015-11-12T14:27:55Z	76	9
971436783	3D teapot	2012-09-28T20:03:46Z	166	56
5978397440999424	Hacker puzzle v2	2015-11-01T21:36:54Z	74	18
6543641679101952	Design challenge: Modeling grass	2015-08-19T19:15:40Z	73	4
1121357698	Monty Hall Simulation	2013-11-26T13:48:45Z	161	134
1946032261	INTERACT: Lunar eclipse	2014-01-07T12:56:20Z	114	718
1113221512	Melting solid	2012-12-18T20:09:44Z	65	37
4317260973	Sim world	2016-04-10T14:37:13Z	65	10
5455623578058752	Rigged version of Mike	2016-02-13T09:35:24Z	65	24
5650310981484544	Khan Academy Blog 2015	2016-01-29T11:22:49Z	63	10
2005175964	Curiosity landing simulation	2016-04-29T21:12:37Z	868	961
1170514481	3D double stranded DNA	2013-04-19T12:57:54Z	135	44
6327297740374016	My Programs	2015-04-06T12:49:44Z	60	31
5629198921	Boundary of a rotating shape	2016-05-20T14:02:40Z	58	11
1071783640	Shaded Torus	2015-07-30T06:36:39Z	95	115
1523498705	Magnet and iron filings	2016-01-28T14:31:55Z	91	331
4746639363538944	Combinations	2014-10-09T18:42:35Z	55	34
5280615552909312	Textured sphere interactive	2015-12-12T16:55:39Z	55	14
1410671173	Globe	2014-06-04T08:45:56Z	90	45
1952756408	Parallax Effect	2014-02-06T15:48:02Z	279	91
1063016315	Ping pong ball laucher	2012-10-02T16:24:32Z	54	9
5637644097814528	String art construction	2016-07-15T11:04:24Z	54	7
2525418758	Features of Mars (large)	2015-02-07T11:42:03Z	53	45
5993137787	Flame test	2016-06-05T08:56:02Z	53	5
971239310	3D box	2013-05-15T20:15:42Z	117	73
2357964268	Tunnel test	2013-11-01T16:11:09Z	85	72
4727676827205632	Spin-off of "Contest: Code a Character 2.0"	2016-03-15T08:33:53Z	51	10
1602393745	Inverse Cube Relationship	2015-02-19T19:20:27Z	139	230
2156500698	Wandering planets	2014-06-23T10:50:42Z	83	32
1168725174	3D ATP molecule	2014-06-08T16:59:56Z	50	42
1549121998	Magnetising materials	2014-01-20T17:23:51Z	254	998
1399252023	World Map	2013-02-25T11:52:18Z	81	33
1866725773	Estimating pi	2013-10-30T13:29:10Z	48	26
6234315773968384	Weak law of large numbers	2014-03-09T12:28:52Z	389	2
4520289299857408	ANIMATE: Epicycles	2013-11-21T04:08:30Z	47	31
1994911779	INTERACT: Features of Mars	2015-07-19T11:16:17Z	125	7
6352226532458496	Oppositions	2013-10-07T21:17:33Z	125	81
1202677659	Garfield's proof of the Pythagorean Theorem	2012-12-10T22:50:10Z	44	17
6048902355746816	Interactive: Split and average	2015-12-15T12:19:47Z	44	12
1185793129	What is this?	2012-11-30T14:52:47Z	43	7
1554555033	3D box perspective	2014-08-27T16:54:49Z	43	31
6090692692672512	My programs	2016-05-29T09:41:20Z	43	26
5145009707810816	Distance between Earth and Mars	2016-02-09T17:27:48Z	95	9
1276160545	Play Monty Hall	2013-05-14T19:33:28Z	93	53
1479710170	Evolution of Mona Lisa	2013-03-20T23:44:17Z	112	23
1497927842	Moon	2013-11-23T12:40:45Z	112	42
6131690633428992	Modelling an epidemic	2015-06-25T13:18:13Z	67	414
2131015999	Season simulator	2015-06-24T10:49:16Z	482	16
1092842126	3D surface viewer 2	2013-01-19T12:22:18Z	40	13
2380038500	Spout circuit	2015-08-03T08:59:58Z	536	1271
1587803214	Tracing a magnetic field	2014-09-28T17:22:50Z	108	423
1122503811	Simulation of an ionic solid	2013-03-17T13:13:21Z	87	32
1564393660	Survive and Evolve	2014-11-23T23:09:13Z	126	75
1131049891	3D glucose molecule	2013-06-26T14:11:26Z	39	40
5801383440	Results for Rigging Animation Contest	2016-05-25T15:02:21Z	39	3
1264460092	Exploring triangles	2014-02-12T13:09:01Z	104	38
1638059319	3D tutorial 1	2015-10-26T21:44:10Z	38	103
1648921303	3D tutorial 4	2013-05-16T19:06:22Z	38	50
4666840406687744	Syntax highlighter	2015-11-11T22:55:12Z	37	9
3693107258	Results for Rigging Contest	2016-05-25T14:57:25Z	34	1
5451114611736576	Sphere	2014-04-06T19:27:32Z	34	22
4903789011140608	Weak law of large numbers (small)	2014-10-23T08:05:14Z	33	35
6232995006513152	Into the Goblins' Lair	2014-01-28T17:59:20Z	33	10
6277899274027008	Marble-effect tiles	2015-10-26T13:03:41Z	33	8
6587673208946688	Infinite map	2015-05-17T09:38:34Z	33	16
1068210830	Shading a 3D Object	2012-10-04T16:04:10Z	32	19
1864670392	Orbits	2013-09-20T00:33:58Z	32	18
1329634761	Guess the coin	2014-09-22T17:53:35Z	278	332
969600201	Text Writer	2013-12-20T21:06:17Z	51	35
971423230	3D surface viewer	2012-10-17T22:27:26Z	31	21
5088555429920768	Animation with linear interpolation	2015-08-28T13:28:42Z	31	3
5414532843438080	Animation with Bezier curves	2015-08-28T13:29:02Z	31	9
5559514153222144	Shaded sphere	2016-05-16T17:35:38Z	31	3
972365924	3D checkerboard	2013-05-16T22:42:48Z	50	19
1849267053	Who's afraid of the dark?	2013-08-03T11:55:48Z	30	6
5006667690409984	3D falling cloth	2015-08-31T19:06:26Z	30	1
